,beach_name,urls,latitude,longitude
0,Силистар,https://pochivka.bg/silistar-plazh-e406,42.0224037,28.0098915
1,Кара дере,https://pochivka.bg/kara-dere-plazh-e398,42.9165268,27.8940125
2,Крапец,https://pochivka.bg/krapets-plazh-e407,43.6686440,28.5661373
3,Иракли,https://pochivka.bg/irakli-plazh-e399,42.7510681,27.8882351
4,Дуранкулак,https://pochivka.bg/durankulak-plazh-e384,43.7174644,28.5729046
5,Болата,https://pochivka.bg/bolata-plazh-e388,43.3830566,28.4704857
6,Паша дере,https://pochivka.bg/pasha-dere-plazh-e394,43.1092415,27.9238091
7,Атия,https://pochivka.bg/atia-plazh-e2430,42.4510231,27.5964470
8,Фичоза,https://pochivka.bg/fichoza-plazh-e393,43.1430206,27.9400063
9,Кабакум,https://pochivka.bg/kabakum-plazh-e391,43.2542458,28.0301247
10,Рапонги,https://pochivka.bg/rapongi-plazh-e1314,43.1998215,27.9223804
11,Плаж Перла,https://pochivka.bg/plazh-perla-e403,42.2889633,27.7568016
12,Плаж Липите,https://pochivka.bg/plazh-lipite-e378,42.0472221,27.9913883
13,Камчийски пясъци,https://pochivka.bg/kamchiyski-pyasatsi-plazh-e396,43.0035095,27.8892784
14,Карвуна,https://pochivka.bg/karvuna-plazh-e385,43.6531982,28.5682411
15,Плаж Варвара,https://pochivka.bg/plazh-varvara-e1320,42.1276665,27.9074917
16,Плаж Бутамята,https://pochivka.bg/plazh-butamyata-e379,42.0550003,27.9863892
17,Плаж Аркутино,https://pochivka.bg/plazh-arkutino-e383,42.3291664,27.7341671
18,Шабленска Тузла,https://pochivka.bg/shablenska-tuzla-plazh-e387,43.5754929,28.5800533
19,Офицерски плаж - Варна,https://pochivka.bg/ofitserski-plazh-varna-e1326,43.2088890,27.9380569
20,Алепу,https://pochivka.bg/alepu-plazh-e382,42.3590202,27.7142563
21,Плаж Делфин,https://pochivka.bg/plazh-delfin-e380,42.1072884,27.9188519
22,Плаж Камчия,https://pochivka.bg/plazh-kamchia-e395,43.0320206,27.8878307
23,Плаж Листи,https://pochivka.bg/plazh-listi-e405,42.0341606,28.0044861
24,Плаж Шкорпиловци,https://pochivka.bg/plazh-shkorpilovtsi-e397,42.9622231,27.8961105
25,Плаж Галата,https://pochivka.bg/plazh-galata-e392,43.1265793,27.9300861
26,Царски плаж,https://pochivka.bg/tsarski-plazh-e401,42.4137154,27.6544762
27,Плаж Албена,https://pochivka.bg/plazh-albena-e1306,43.3657646,28.0831699
28,Плаж Крайморие,https://pochivka.bg/plazh-kraymorie-e1315,42.4453278,27.4924717
29,Плаж Оазис,https://pochivka.bg/plazh-oazis-e1316,42.2020493,27.8179436
30,Плаж Бяла,https://pochivka.bg/plazh-byala-e1327,42.8730202,27.8976822
31,Плаж Дюни,https://pochivka.bg/plazh-dyuni-e1328,42.3693428,27.7091923
32,Плаж Сарафово,https://pochivka.bg/plazh-sarafovo-e1331,42.5571136,27.5233517
33,Плаж Балтата,https://pochivka.bg/plazh-baltata-e389,43.3576851,28.0781708
34,Плаж Харманите,https://pochivka.bg/plazh-harmanite-e1317,42.4137306,27.7009315
35,Плаж Елените,https://pochivka.bg/plazh-elenite-e1321,42.7032089,27.8133698
36,Попски плаж,https://pochivka.bg/popski-plazh-e1322,42.1785011,27.8458557
37,Плаж Слънчев ден (Кокодива),https://pochivka.bg/plazh-slanchev-den-kokodiva-e1324,43.2423439,28.0183983
38,Плаж Резово,https://pochivka.bg/plazh-rezovo-e1329,41.9832344,28.0303173
39,Плаж Езерец,https://pochivka.bg/plazh-ezerets-e386,43.5951843,28.5695686
40,Плаж Панорама,https://pochivka.bg/plazh-panorama-e390,43.3049889,28.0534401
41,Плаж Велека,https://pochivka.bg/plazh-veleka-e1309,42.0675201,27.9714470
42,Плаж Ванила Бийч,https://pochivka.bg/plazh-vanila-biych-e1318,43.3418770,28.0700397
43,Плаж Ропотамо,https://pochivka.bg/plazh-ropotamo-e1323,42.3296013,27.7567806
44,Плаж Солниците,https://pochivka.bg/plazh-solnitsite-e1325,42.5238037,27.4880009
45,Траката,https://pochivka.bg/trakata-plazh-e1332,43.2175598,27.9964409
